w	a	n_w_in_corp	corpus_size	n_pattern
sarwa	3	163	638639	633
sekar	3	199	638639	633
silih	3	353	638639	633
soang-soang	3	319	638639	633
suwung	3	54	638639	633
tamba	3	94	638639	633
tatkala	3	184	638639	633
terapi	3	7	638639	633
timpal	3	229	638639	633
tiosan	3	302	638639	633
tresna	3	178	638639	633
udara	3	23	638639	633
upakara	3	113	638639	633
wenten	3	275	638639	633
yadnya	3	260	638639	633
yan	3	906	638639	633
a	2	154	638639	633
adat	2	455	638639	633
ajahan	2	51	638639	633
akidik	2	90	638639	633
alam	2	137	638639	633
arta	2	91	638639	633
artha	2	58	638639	633
aungan	2	15	638639	633
aunit	2	2	638639	633
awinan	2	144	638639	633
aya	2	110	638639	633
baas	2	68	638639	633
bahan	2	41	638639	633
bak	2	5	638639	633
banjar	2	524	638639	633
banten	2	212	638639	633
baru	2	79	638639	633
batang	2	9	638639	633
bayu	2	114	638639	633
be	2	4	638639	633
becikan	2	36	638639	633
berkorban	2	3	638639	633
biopéstisida	2	6	638639	633
biosurfaktan	2	19	638639	633
brata	2	85	638639	633
buku-buku	2	43	638639	633
buléléng	2	130	638639	633
bulu	2	20	638639	633
busuk	2	9	638639	633
cair	2	10	638639	633
cocok	2	36	638639	633
deterjen	2	12	638639	633
dija	2	348	638639	633
don	2	57	638639	633
duaning	2	632	638639	633
dumun	2	337	638639	633
durusang	2	16	638639	633
empelan	2	7	638639	633
galahé	2	112	638639	633
galahnyané	2	9	638639	633
galungan	2	163	638639	633
gas	2	47	638639	633
génerasi	2	12	638639	633
gondok	2	27	638639	633
gong	2	127	638639	633
gumantiné	2	5	638639	633
gumi	2	430	638639	633
idup	2	291	638639	633
ilang	2	185	638639	633
imba	2	26	638639	633
indonésia	2	240	638639	633
janten	2	164	638639	633
jnyana	2	9	638639	633
kaadol	2	51	638639	633
kabuatang	2	45	638639	633
kafé	2	48	638639	633
kagunayang	2	12	638639	633
kalaning	2	48	638639	633
kalimbakang	2	37	638639	633
kalintang	2	124	638639	633
kanggén	2	159	638639	633
kanti	2	692	638639	633
kantos	2	628	638639	633
kapatutan	2	46	638639	633
kapolihang	2	99	638639	633
kara	2	19	638639	633
karang	2	117	638639	633
kasukertan	2	77	638639	633
kasukertané	2	3	638639	633
katangiang	2	42	638639	633
katelasang	2	8	638639	633
kawéntenan	2	650	638639	633
kekuatan	2	40	638639	633
kénten	2	292	638639	633
kesenian	2	126	638639	633
khusus	2	31	638639	633
kocap	2	368	638639	633
kuningan	2	84	638639	633
lahan	2	63	638639	633
lakar	2	1453	638639	633
langkung	2	96	638639	633
larapan	2	5	638639	633
leluhuré	2	21	638639	633
mageng	2	33	638639	633
manahé	2	71	638639	633
mandala	2	62	638639	633
manggala	2	150	638639	633
manggihin	2	142	638639	633
manut	2	1145	638639	633
maosang	2	541	638639	633
mapiteges	2	20	638639	633
mapitulung	2	46	638639	633
maring	2	31	638639	633
marupa	2	346	638639	633
masyarakat	2	193	638639	633
masyarakaté	2	49	638639	633
maturan	2	54	638639	633
merta	2	50	638639	633
meseh	2	45	638639	633
molihang	2	237	638639	633
mrasidayang	2	249	638639	633
mupulang	2	40	638639	633
musik	2	43	638639	633
nangun	2	36	638639	633
nanjaang	2	7	638639	633
nees	2	10	638639	633
nepas	2	12	638639	633
nepasin	2	43	638639	633
ngacep	2	10	638639	633
ngadol	2	103	638639	633
ngajegang	2	52	638639	633
ngalemekin	2	8	638639	633
ngamelang	2	4	638639	633
ngamertain	2	9	638639	633
nganggén	2	370	638639	633
ngangkat	2	30	638639	633
ngantos	2	396	638639	633
ngaryanin	2	80	638639	633
ngastitiang	2	30	638639	633
ngawé	2	52	638639	633
ngawi	2	136	638639	633
ngawigunayang	2	57	638639	633
ngayah	2	196	638639	633
ngeremin	2	2	638639	633
ngeret	2	19	638639	633
ngirim	2	27	638639	633
nglaksanayang	2	373	638639	633
nglindungin	2	3	638639	633
ngret	2	2	638639	633
ngubadin	2	29	638639	633
nguber	2	41	638639	633
ngucicak	2	5	638639	633
ngukuhang	2	34	638639	633
ngupapira	2	49	638639	633
ngwéntenang	2	83	638639	633
nulungin	2	85	638639	633
numbuhang	2	50	638639	633
nyayagayang	2	32	638639	633
nyelimurang	2	6	638639	633
nyepi	2	116	638639	633
nyiagayang	2	14	638639	633
nyiksik	2	13	638639	633
nyimpen	2	26	638639	633
nyokong	2	42	638639	633
nyujuh	2	58	638639	633
nyuluhin	2	10	638639	633
nyumbungang	2	16	638639	633
ogoh-ogoh	2	151	638639	633
olih	2	1921	638639	633
pabuat	2	24	638639	633
paiketan	2	61	638639	633
paindikan	2	176	638639	633
pakakas	2	25	638639	633
pakibeh	2	42	638639	633
pangupajiwa	2	21	638639	633
panuntun	2	15	638639	633
parenungan	2	3	638639	633
parilaksana	2	136	638639	633
pastika	2	403	638639	633
pawangunan	2	40	638639	633
pendidikan	2	311	638639	633
penelitian	2	168	638639	633
pengalaman	2	27	638639	633
pepineh	2	17	638639	633
pertanian	2	206	638639	633
pésta	2	38	638639	633
pikayun	2	50	638639	633
pisarat	2	16	638639	633
polusi	2	24	638639	633
prabu	2	121	638639	633
praja	2	27	638639	633
punia	2	55	638639	633
pura	2	869	638639	633
putih	2	254	638639	633
radio	2	153	638639	633
rahina	2	615	638639	633
rakyaté	2	30	638639	633
s-	2	17	638639	633
sameton	2	130	638639	633
sampunangké	2	2	638639	633
sang	2	2074	638639	633
sanjata	2	17	638639	633
santukan	2	670	638639	633
sarahina	2	57	638639	633
sarahina-rahina	2	36	638639	633
sarira	2	99	638639	633
sawitra	2	23	638639	633
sekadi	2	158	638639	633
sekolah	2	383	638639	633
sertifikat	2	52	638639	633
sesana	2	31	638639	633
sesolahan	2	161	638639	633
setata	2	774	638639	633
shanti	2	99	638639	633
sida	2	432	638639	633
sisa-sisa	2	4	638639	633
skripsi	2	52	638639	633
sms	2	68	638639	633
spiritual	2	52	638639	633
sraya	2	8	638639	633
substrat	2	2	638639	633
tamiu	2	122	638639	633
taneman	2	9	638639	633
tawah	2	42	638639	633
tegesné	2	24	638639	633
téknologi	2	57	638639	633
telas	2	72	638639	633
temon-temon	2	6	638639	633
tenaga	2	44	638639	633
tetamianné	2	5	638639	633
tetaneman	2	51	638639	633
tetep	2	337	638639	633
tetumbuhan	2	13	638639	633
tiga	2	191	638639	633
tirtha	2	23	638639	633
topéng	2	118	638639	633
ucapan	2	28	638639	633
udeng	2	12	638639	633
umah	2	296	638639	633
upaminné	2	29	638639	633
uratian	2	98	638639	633
wali	2	54	638639	633
wang	2	128	638639	633
wangunan	2	65	638639	633
wewangunan	2	39	638639	633
wewidangan	2	204	638639	633
widhi	2	270	638639	633
wirasa	2	27	638639	633
yaning	2	425	638639	633
acukupan	1	3	638639	633
adnyana	1	28	638639	633
agamané	1	39	638639	633
ageng	1	259	638639	633
aids	1	25	638639	633
air	1	82	638639	633
akademik	1	12	638639	633
akediknyané	1	6	638639	633
akéhan	1	162	638639	633
akéhné	1	17	638639	633
aksara	1	201	638639	633
alas-alas	1	2	638639	633
alat	1	29	638639	633
ali-ali	1	3	638639	633
alit	1	537	638639	633
alit-alité	1	133	638639	633
alternatif	1	8	638639	633
alternativé	1	1	638639	633
ama	1	50	638639	633
ambil	1	10	638639	633
among	1	7	638639	633
ampura	1	55	638639	633
anaké	1	1000	638639	633
andangjaya	1	2	638639	633
andap	1	23	638639	633
anémé	1	1	638639	633
angen-angen	1	10	638639	633
anggannyané	1	19	638639	633
anggota	1	149	638639	633
angka	1	34	638639	633
anom	1	83	638639	633
anyar	1	215	638639	633
apang	1	985	638639	633
apik	1	11	638639	633
aran	1	120	638639	633
asapunapi	1	36	638639	633
asapunika	1	430	638639	633
asapuniki	1	62	638639	633
asep	1	14	638639	633
astiti	1	33	638639	633
asuluh	1	1	638639	633
atenga	1	29	638639	633
atin	1	39	638639	633
atur	1	59	638639	633
australi	1	16	638639	633
awak	1	266	638639	633
awét	1	8	638639	633
ayah	1	32	638639	633
ayam	1	30	638639	633
ba	1	893	638639	633
babesen	1	2	638639	633
baduur	1	15	638639	633
bajang	1	198	638639	633
bakat	1	165	638639	633
bakti	1	213	638639	633
balangan	1	1	638639	633
balé	1	121	638639	633
balian	1	151	638639	633
balih-balihan	1	24	638639	633
banda	1	6	638639	633
banglé	1	26	638639	633
banjar-banjaré	1	2	638639	633
banyu	1	21	638639	633
bapa	1	730	638639	633
basannyané	1	7	638639	633
basé	1	38	638639	633
baséné	1	4	638639	633
batako	1	6	638639	633
bati	1	45	638639	633
batis	1	71	638639	633
batuk	1	9	638639	633
batukaru	1	7	638639	633
bebagrigan	1	5	638639	633
bebaksan	1	1	638639	633
becikné	1	21	638639	633
beciknyané	1	7	638639	633
bedéng-bedéng	1	3	638639	633
bejigar	1	3	638639	633
bekbek	1	1	638639	633
bemo	1	7	638639	633
bendahara	1	10	638639	633
bénjang	1	30	638639	633
bénténg	1	5	638639	633
beseh	1	8	638639	633
beténan	1	13	638639	633
biar	1	5	638639	633
biasa	1	198	638639	633
bisnis	1	58	638639	633
blangkon	1	1	638639	633
bline	1	34	638639	633
boya-boya	1	20	638639	633
budal	1	50	638639	633
budayané	1	19	638639	633
buin	1	1100	638639	633
buntilané	1	1	638639	633
buron	1	101	638639	633
busana	1	60	638639	633
busung	1	71	638639	633
cacing	1	1	638639	633
caluh	1	9	638639	633
carita	1	70	638639	633
carman	1	4	638639	633
cendet	1	15	638639	633
centre	1	2	638639	633
cihna	1	125	638639	633
cinta	1	18	638639	633
contoné	1	28	638639	633
crita	1	120	638639	633
cukupan	1	3	638639	633
cupit	1	29	638639	633
daar	1	15	638639	633
dadakan	1	5	638639	633
dadi	1	1869	638639	633
dadong	1	278	638639	633
daérah	1	161	638639	633
dagangan	1	32	638639	633
dagingin	1	12	638639	633
dauhé	1	4	638639	633
daya	1	98	638639	633
dekah	1	8	638639	633
demen	1	442	638639	633
démokrasi	1	6	638639	633
dénpasar	1	483	638639	633
désané	1	98	638639	633
dewa	1	87	638639	633
déwéknyané	1	14	638639	633
déwi	1	172	638639	633
dewok	1	1	638639	633
dharma	1	400	638639	633
digital	1	4	638639	633
dina	1	144	638639	633
dinginé	1	5	638639	633
diri	1	173	638639	633
drama	1	48	638639	633
dresta	1	121	638639	633
drika	1	103	638639	633
driki	1	95	638639	633
duk	1	308	638639	633
durma	1	8	638639	633
durung	1	406	638639	633
duur	1	215	638639	633
dwi	1	50	638639	633
eceng	1	3	638639	633
écéng	1	22	638639	633
eddy	1	9	638639	633
éféktif	1	10	638639	633
égar	1	40	638639	633
ékonominé	1	1	638639	633
ékosistem	1	3	638639	633
élah	1	116	638639	633
elingin	1	1	638639	633
émisi	1	1	638639	633
encen	1	9	638639	633
énerginyané	1	2	638639	633
engsep	1	1	638639	633
ening	1	49	638639	633
ento	1	1485	638639	633
enzim	1	4	638639	633
érlangga	1	5	638639	633
facebook	1	25	638639	633
féstival	1	17	638639	633
gagasan	1	2	638639	633
gajah	1	34	638639	633
gaji	1	16	638639	633
galahné	1	3	638639	633
gambelan	1	25	638639	633
gamel	1	6	638639	633
gamelan	1	18	638639	633
gangguan	1	13	638639	633
garapan	1	1	638639	633
gegambelan	1	1	638639	633
geginané	1	25	638639	633
gegodan	1	45	638639	633
gegodané	1	9	638639	633
gelar	1	52	638639	633
gelis	1	143	638639	633
geni	1	35	638639	633
gesité	1	1	638639	633
gianyar	1	196	638639	633
githa	1	3	638639	633
grip	1	1	638639	633
gugu	1	26	638639	633
gunung-sagara	1	1	638639	633
guyu-guyuan	1	2	638639	633
hari	1	84	638639	633
hartoyo	1	2	638639	633
hibiscus	1	2	638639	633
honor	1	11	638639	633
hot	1	8	638639	633
hotel-hotél	1	2	638639	633
hredaya	1	25	638639	633
hukum	1	85	638639	633
idané	1	143	638639	633
idé	1	14	638639	633
idupé	1	87	638639	633
idupnyané	1	18	638639	633
igama	1	1	638639	633
ikang	1	24	638639	633
inap	1	2	638639	633
indiké	1	174	638639	633
indonésiané	1	46	638639	633
indrian	1	1	638639	633
inem	1	14	638639	633
informasi	1	33	638639	633
ingkupang	1	1	638639	633
inguh	1	102	638639	633
internasional	1	50	638639	633
inum	1	10	638639	633
ipuné	1	282	638639	633
iraga	1	188	638639	633
iriki	1	44	638639	633
isin	1	164	638639	633
iwa	1	53	638639	633
iwau	1	2	638639	633
jabatané	1	3	638639	633
jadma	1	165	638639	633
jakti	1	37	638639	633
jakti-jakti	1	13	638639	633
jalan	1	292	638639	633
jalanang	1	11	638639	633
jaman	1	165	638639	633
janané	1	139	638639	633
jangan	1	34	638639	633
jangi	1	1	638639	633
jarang	1	4	638639	633
jaruh	1	54	638639	633
jejaring	1	12	638639	633
jejeh	1	190	638639	633
jelékné	1	2	638639	633
jero	1	278	638639	633
jinahé	1	19	638639	633
jineng	1	9	638639	633
kaambil	1	62	638639	633
kaandelang	1	3	638639	633
kaanggé	1	148	638639	633
kaanggit	1	4	638639	633
kaawi	1	2	638639	633
kabecikang	1	21	638639	633
kablibagang	1	1	638639	633
kabrarut	1	1	638639	633
kabudayan	1	11	638639	633
kadadosang	1	162	638639	633
kadasarin	1	92	638639	633
kadautnyané	1	1	638639	633
kadi	1	878	638639	633
kadol	1	15	638639	633
kadruéanne	1	1	638639	633
kagamel	1	18	638639	633
kagedig	1	1	638639	633
kahuripan	1	66	638639	633
kainné	1	1	638639	633
kajaga	1	17	638639	633
kakasuban	1	4	638639	633
kaketus	1	7	638639	633
kala	1	992	638639	633
kalaksanyang	1	9	638639	633
kalangan	1	50	638639	633
kalaran	1	19	638639	633
kalestariang	1	11	638639	633
kaletehan	1	7	638639	633
kamané	1	14	638639	633
kamargiang	1	266	638639	633
kamolihang	1	15	638639	633
kampanye	1	12	638639	633
kampid	1	6	638639	633
kanikaang	1	4	638639	633
kantongné	1	8	638639	633
kaolah	1	19	638639	633
kaon	1	160	638639	633
kaperluannyané	1	2	638639	633
kapertama	1	145	638639	633
kapetengan	1	12	638639	633
kapica	1	11	638639	633
kaplug	1	8	638639	633
kaputungan	1	3	638639	633
karahajengan	1	18	638639	633
karajahengan	1	1	638639	633
karana	1	66	638639	633
karasa	1	74	638639	633
karasayang	1	142	638639	633
karbondioksida	1	23	638639	633
karma	1	85	638639	633
karmané	1	17	638639	633
karna	1	21	638639	633
karuntutin	1	2	638639	633
karya	1	375	638639	633
kasaktén	1	1	638639	633
kasaktian	1	24	638639	633
kasalahwigunayang	1	2	638639	633
kasayagayang	1	10	638639	633
kasediang	1	5	638639	633
kaselang	1	17	638639	633
kasiagayang	1	7	638639	633
kasisihang	1	2	638639	633
kasobyahang	1	12	638639	633
kasudi	1	19	638639	633
kasué-suén	1	2	638639	633
kasujatianné	1	14	638639	633
kasusilané	1	2	638639	633
katabuhin	1	1	638639	633
katah	1	215	638639	633
katambetané	1	1	638639	633
katempuh	1	6	638639	633
katikné	1	1	638639	633
katincapang	1	37	638639	633
katuréksain	1	10	638639	633
katusuk	1	3	638639	633
kaucapang	1	31	638639	633
kauningin	1	164	638639	633
kauntungannyané	1	2	638639	633
kauripinané	1	1	638639	633
kauripn	1	1	638639	633
kawagedan	1	22	638639	633
kawalék	1	4	638639	633
kawangun	1	114	638639	633
kawedar	1	72	638639	633
kawigunan	1	38	638639	633
kawigunanan	1	1	638639	633
kawigunanné	1	1	638639	633
kawikanan	1	59	638639	633
kawikanané	1	4	638639	633
kaya	1	15	638639	633
kayuné	1	73	638639	633
kebahasaan	1	2	638639	633
kecer	1	1	638639	633
kedis	1	103	638639	633
kegiatan	1	29	638639	633
kélangan	1	58	638639	633
kelapa	1	50	638639	633
kemacetan	1	12	638639	633
kemanten	1	61	638639	633
kembulan	1	3	638639	633
keneh	1	437	638639	633
kepah	1	12	638639	633
kepentingan	1	21	638639	633
keperluan	1	8	638639	633
kerajinan	1	55	638639	633
kerja	1	93	638639	633
kerti	1	12	638639	633
kérti	1	10	638639	633
keseimbangan	1	5	638639	633
ketah	1	247	638639	633
keunikan	1	1	638639	633
kewagedan	1	7	638639	633
kidikan	1	1	638639	633
kirang	1	217	638639	633
kisah	1	2	638639	633
kléméd	1	1	638639	633
kmb	1	12	638639	633
kolam	1	17	638639	633
komisi	1	23	638639	633
kompléks	1	6	638639	633
komunikasi	1	27	638639	633
konsep	1	18	638639	633
kontribusi	1	8	638639	633
korupsi	1	97	638639	633
kota	1	373	638639	633
kramane	1	88	638639	633
kramané	1	462	638639	633
kréatifitas	1	5	638639	633
ksatria	1	23	638639	633
kuala	1	11	638639	633
kuliah	1	81	638639	633
kulkul	1	62	638639	633
kumbakarna	1	11	638639	633
kumkuman	1	8	638639	633
kunci	1	16	638639	633
kurenan	1	163	638639	633
kuseknyané	1	1	638639	633
kutuh	1	13	638639	633
kwalitas	1	6	638639	633
l	1	21	638639	633
label	1	3	638639	633
lacuré	1	19	638639	633
laksana	1	128	638639	633
lalanguan	1	1	638639	633
lalu	1	26	638639	633
lanang	1	239	638639	633
lango	1	14	638639	633
latu	1	4	638639	633
layon	1	10	638639	633
lédang	1	42	638639	633
lega	1	76	638639	633
legan	1	15	638639	633
lelipi	1	41	638639	633
leluhu	1	13	638639	633
lelunganan	1	2	638639	633
leluu	1	34	638639	633
lian	1	145	638639	633
lianan	1	475	638639	633
lidi	1	9	638639	633
lima	1	164	638639	633
limang	1	156	638639	633
limbah	1	22	638639	633
lingga-yoni	1	5	638639	633
linggih	1	128	638639	633
lingkungan	1	91	638639	633
listrik	1	29	638639	633
los	1	13	638639	633
lpd	1	170	638639	633
luh	1	1256	638639	633
ma-brahma	1	1	638639	633
ma-saraswati	1	2	638639	633
mabasa	1	160	638639	633
mabersih	1	8	638639	633
mabersih-bersih	1	6	638639	633
mabusana	1	28	638639	633
macan	1	87	638639	633
maciri	1	8	638639	633
madana	1	11	638639	633
maderbe	1	3	638639	633
madiksa	1	17	638639	633
madingang	1	8	638639	633
madolan	1	36	638639	633
magaang	1	5	638639	633
magaé	1	182	638639	633
magambel	1	22	638639	633
magehin	1	5	638639	633
magendu	1	15	638639	633
magianin	1	1	638639	633
mahawinan	1	15	638639	633
mahbahang	1	14	638639	633
mairing	1	1	638639	633
majanten	1	85	638639	633
makaca	1	8	638639	633
makarma	1	6	638639	633
makeber	1	62	638639	633
makéh	1	348	638639	633
makemit	1	23	638639	633
makompetisi	1	1	638639	633
makréativitas	1	1	638639	633
maksang-maksang	1	1	638639	633
makudang	1	106	638639	633
mala	1	92	638639	633
malaib	1	116	638639	633
malajahang	1	34	638639	633
malancaran	1	38	638639	633
malaysia	1	15	638639	633
maling	1	48	638639	633
mamaca	1	83	638639	633
mamancing	1	13	638639	633
mamargi	1	246	638639	633
mambal	1	8	638639	633
manian	1	18	638639	633
manresti	1	10	638639	633
mantra	1	88	638639	633
mantuk	1	33	638639	633
manuntun	1	3	638639	633
manusané	1	120	638639	633
manyama	1	43	638639	633
manyirat	1	1	638639	633
mapaica	1	18	638639	633
mapajenek	1	1	638639	633
mapanauran	1	5	638639	633
mapangayah	1	5	638639	633
mapidabdab	1	29	638639	633
maplesiran	1	8	638639	633
marajah	1	4	638639	633
maratengan	1	3	638639	633
mareresik	1	10	638639	633
margi-margi	1	14	638639	633
margiang	1	23	638639	633
margine	1	3	638639	633
marginé	1	61	638639	633
marginin	1	7	638639	633
maripurnayang	1	3	638639	633
martabak	1	1	638639	633
masaih	1	44	638639	633
masari	1	10	638639	633
maseseleh	1	3	638639	633
masesimbing	1	10	638639	633
mashanti	1	8	638639	633
masilihin	1	3	638639	633
masimakrama	1	3	638639	633
masiram	1	17	638639	633
masuci	1	4	638639	633
masuluh	1	17	638639	633
matemu	1	95	638639	633
material	1	5	638639	633
matetanduran	1	13	638639	633
matetulung	1	12	638639	633
matiosan	1	127	638639	633
matumbasan	1	34	638639	633
matur	1	124	638639	633
matutur	1	9	638639	633
mautang	1	6	638639	633
mautsaha	1	189	638639	633
mawali	1	198	638639	633
mawasta	1	157	638639	633
mawija	1	1	638639	633
mawinan	1	807	638639	633
mawit	1	229	638639	633
mayah	1	107	638639	633
mayungin	1	3	638639	633
medal	1	133	638639	633
media	1	29	638639	633
média	1	12	638639	633
mekel	1	28	638639	633
meli	1	224	638639	633
méméh	1	12	638639	633
menarik	1	1	638639	633
mendak	1	27	638639	633
meneng	1	73	638639	633
merluang	1	52	638639	633
mesti	1	105	638639	633
metis	1	2	638639	633
metoh	1	22	638639	633
méweh	1	214	638639	633
méwehnyané	1	9	638639	633
miara	1	51	638639	633
midabdabin	1	36	638639	633
mikayunin	1	46	638639	633
mikukuhin	1	17	638639	633
mimpin	1	8	638639	633
minakadi	1	379	638639	633
mindahang	1	1	638639	633
minehang	1	9	638639	633
miriban	1	8	638639	633
misadia	1	23	638639	633
miteketin	1	11	638639	633
mlajahin	1	21	638639	633
mobil	1	142	638639	633
modéren	1	86	638639	633
momen	1	1	638639	633
monobrata	1	3	638639	633
montor	1	90	638639	633
moral	1	26	638639	633
mranén	1	6	638639	633
mrasidayaang	1	1	638639	633
mrebatin	1	1	638639	633
mredi	1	1	638639	633
mrika-mriki	1	15	638639	633
muané	1	24	638639	633
muatang	1	34	638639	633
muda	1	29	638639	633
munduhang	1	11	638639	633
mundut	1	5	638639	633
muputang	1	36	638639	633
murid-muridé	1	31	638639	633
nabdabang	1	6	638639	633
nadosang	1	27	638639	633
naginging	1	3	638639	633
nah	1	286	638639	633
nambanin	1	34	638639	633
nampanin	1	2	638639	633
